[1800, 0] [0, 1800] [249, 189]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [249, 189]
[-1800, -1800] [1800, 0] [249, 189]
[1800, 0] [0, 1800] [371, 187]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [249, 189]
[-1800, -1800] [1800, 0] [371, 187]
[-1800, -1800] [371, 187] [249, 189]
[0, 1800] [249, 189] [371, 187]
[1800, 0] [0, 1800] [313, 264]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [249, 189]
[-1800, -1800] [1800, 0] [371, 187]
[-1800, -1800] [371, 187] [249, 189]
[0, 1800] [249, 189] [313, 264]
[371, 187] [1800, 0] [313, 264]
[249, 189] [371, 187] [313, 264]
[1800, 0] [0, 1800] [312, 342]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [249, 189]
[-1800, -1800] [1800, 0] [371, 187]
[-1800, -1800] [371, 187] [249, 189]
[0, 1800] [249, 189] [312, 342]
[371, 187] [1800, 0] [312, 342]
[371, 187] [312, 342] [313, 264]
[249, 189] [371, 187] [313, 264]
[312, 342] [249, 189] [313, 264]
[1800, 0] [0, 1800] [312, 342]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [260, 316]
[-1800, -1800] [1800, 0] [371, 187]
[-1800, -1800] [371, 187] [249, 189]
[260, 316] [-1800, -1800] [249, 189]
[371, 187] [1800, 0] [312, 342]
[371, 187] [312, 342] [313, 264]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[312, 342] [0, 1800] [260, 316]
[1800, 0] [0, 1800] [360, 314]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [260, 316]
[-1800, -1800] [1800, 0] [371, 187]
[-1800, -1800] [371, 187] [249, 189]
[260, 316] [-1800, -1800] [249, 189]
[371, 187] [1800, 0] [360, 314]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
[360, 314] [0, 1800] [312, 342]
[312, 342] [0, 1800] [260, 316]
[1800, 0] [0, 1800] [310, 396]
[0, 1800] [1800, 0] [-1800, -1800]
[0, 1800] [-1800, -1800] [260, 316]
[-1800, -1800] [1800, 0] [371, 187]
[-1800, -1800] [371, 187] [249, 189]
[260, 316] [-1800, -1800] [249, 189]
[371, 187] [1800, 0] [360, 314]
[360, 314] [313, 264] [371, 187]
[313, 264] [360, 314] [312, 342]
[249, 189] [371, 187] [313, 264]
[313, 264] [260, 316] [249, 189]
[260, 316] [313, 264] [312, 342]
